id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
stellar,24,XLM,Stellar,29397281158.6040880000000000,50001806812.0000000000000000,2779619886.2682397404795255,56298336.1849132180037642,0.0945536381841452,4.4796986750317987,0.0934608425318740,https://dashboard.stellar.org/
monero,25,XMR,Monero,18446744.0737095500000000,,2744208956.2813653644272732,56835077.2596742585215472,148.7638656077217624,-0.0051213760100760,150.1125304222537967,http://moneroblocks.info/
ethereum-classic,26,ETC,Ethereum Classic,148232844.9223140200000000,210700000.0000000000000000,2660470960.6845614128115696,86517117.4698343003888423,17.9479181019487484,-1.9760365704431750,18.2574847446417296,http://gastracker.io/
fetch,27,FET,Artificial Superintelligence Alliance,2520000000.0000000000000000,2630547141.0000000000000000,2130741097.2695153880000000,63794032.0515910983797950,0.8455321814561569,-1.2964210194843921,0.8763177431082900,https://etherscan.io/token/0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd
okb,28,OKB,OKB,60000000.0000000000000000,,2004578805.6657430800000000,865499.6757238381309207,33.4096467610957180,-2.4355783456564766,33.9889587651453253,https://etherscan.io/token/0x75231f58b43240c9718dd58b4967c5114342a86c
crypto-com-coin,29,CRO,Crypto.com Coin,25263013692.0000000000000000,30263013692.0000000000000000,1994432816.7925074772605516,3468436.9514863351461855,0.0789467496280573,-0.4886952090343487,0.0804186725030188,https://etherscan.io/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
stacks,30,STX,Stacks,1477722958.0354530000000000,1818000000.0000000000000000,1972864235.5374708018044719,14148163.8571811544267534,1.3350704371273215,2.3430138711584595,1.3699579249782789,https://explorer.xinfin.network/
filecoin,31,FIL,Filecoin,576582445.0000000000000000,,1945339430.1012936632014400,74110440.4827644013484415,3.3739137342297920,-4.5395903761940578,3.5048596183601744,https://protocol.ai
vechain,32,VET,VeChain,80985041177.0000000000000000,86712634466.0000000000000000,1810807867.4884584531175163,15799086.0857190371470211,0.0223597820186419,-0.7192796556100408,0.0228947522084664,https://explore.veforge.com/
maker,33,MKR,Maker,930329.9976393300000000,1005577.0000000000000000,1655283377.6655525778756011,53732533.0758667973651237,1779.2432597742293207,-7.6633073259806942,1884.7627443531586296,https://etherscan.io/token/Maker
aave,34,AAVE,Aave,14899999.4303310800000000,,1488125264.2386842929252246,82527926.1887686316954584,99.8741826264363789,-3.2155855236893844,102.6718552522778570,https://etherscan.io/token/0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
arweave,35,AR,Arweave,65652466.0000000000000000,66000000.0000000000000000,1313237972.8772950905022896,20938061.2963984566007657,20.0028735078632856,-2.9116254895422687,20.8429833801347404,https://viewblock.io/arweave
the-graph,36,GRT,The Graph,9548531509.1654740000000000,,1295989316.8948177415843944,25888662.2011201202543916,0.1357265581258039,-1.9229007275850221,0.1395766242653328,https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7
cosmos,37,ATOM,Cosmos,248453201.0000000000000000,,1203975372.4157755211877847,62104888.1850758315055323,4.8458839232897447,-0.5345227777211503,4.9356248832277934,https://www.mintscan.io/
injective-protocol,38,INJ,Injective,73005554.3300000000000000,100000000.0000000000000000,1127419338.1216640107243266,28756905.1780867198763316,15.4429255207829611,-4.3045057664417928,16.2166398820090184,https://etherscan.io/token/0xe28b3b32b6c345a34ff64674606124dd5aceca30
theta,39,THETA,THETA,1000000000.0000000000000000,1000000000.0000000000000000,1090315437.1251779000000000,8270411.5848252166329982,1.0903154371251779,-1.3241242341729584,1.1206784642899173,https://explorer.thetatoken.org/
thorchain,40,RUNE,THORChain,334630757.0000000000000000,,1008215607.2456581899343135,46824049.3836257412139020,3.0129197216789555,-3.1216437388033040,3.1559274329692955,https://explorer.binance.org/asset/RUNE-B1A
lido-dao,41,LDO,Lido DAO,893760457.0655640000000000,,939583810.2663577813549347,3679748.2815060027319010,1.0512702848269246,-7.8956244177998200,1.1213159004574118,https://etherscan.io/token/0x5a98fcbea516cf06857215779fd812ca3bef1b32
algorand,42,ALGO,Algorand,8226746192.0235270000000000,10000000000.0000000000000000,924016827.8585051546394709,28809418.3548379098363118,0.1123186258929942,-1.6948662499718262,0.1142383120965531,https://algoexplorer.io/
fantom,43,FTM,Fantom,2803634835.5265927000000000,,858318833.2708565012156600,45251454.2820482110613262,0.3061450166029353,-2.7624318391923104,0.3180437673385669,https://etherscan.io/token/0x4e15361fd6b4bb609fa63c81a2be19d873717870
hedera-hashgraph,44,HBAR,Hedera Hashgraph,14832756028.0000000000000000,50000000000.0000000000000000,806868969.7161181689561712,17324354.9724924700886407,0.0543977780119204,-1.7285555582795724,0.0558369103273698,https://hash-hash.info/
flow,45,FLOW,Flow,1523170262.7982614000000000,,786599609.6484802503253242,16386090.5017455816028666,0.5164226408959657,-1.5106575921924267,0.5272105600910044,https://flowscan.org/
bitcoin-sv,46,BSV,Bitcoin SV,19739396.8750000000000000,,773585636.7870471717179634,3912232.9045005570610551,39.1899327869938869,5.0602321501903828,39.0022197459166776,https://bsvexplorer.io/
helium,47,HNT,Helium,160875441.8242133300000000,,772244843.6455947450007907,1969236.3435838885805392,4.8002655650165514,3.1525972521899282,4.8016753255499078,https://explorer.helium.com/
quant,48,QNT,Quant,12072738.0000000000000000,14881364.0000000000000000,724791171.3095000232559068,3152680.3686348584293475,60.0353599415062286,-1.9523729170942551,62.0757098554410711,https://etherscan.io/token/0x4a220e6096b25eadb88358cb44068a3248254675
